Puzzle,Givens,Singles,Hidden Singles,Naked Pairs,Hidden Pairs,Pointing Pairs/Triples,Box/Line Intersections,Guesses,Backtracks,Difficulty
3.9...2.6..4...9...8.....1.67.....982.......7.43.6.52...16.28.....4.5...5..9.8..3,29,52,0,0,0,0,0,0,0,Simple,
.437.1...8.2..5.6.71..6....2......8....428....5......4....7..53.3.5..8.9...8.374.,29,52,0,0,0,0,0,0,0,Simple,
6..3.8..23.......9...491....32...91.9..2.5..6.6..7..5..74...63....5.4.......1....,27,54,0,0,0,0,0,0,0,Simple,
7.831.6.5..369....6....5.79..5....6791.....3843....5..86.5....1....427..1.4.682.3,36,45,0,0,0,0,0,0,0,Simple,
...4..91.8.9......3.5..274...82.3..6.........9..8.72...239..5.7......3.1.86..5...,28,53,0,0,0,0,0,0,0,Simple,
.....1....7435.12..13..846.4.9.2..1..2.5.4.9..8..1.2.4.461..97..95.7268....6.....,36,45,0,0,0,0,0,0,0,Simple,
..8..23.447.....129.2....8......3.6.896.4.........8.4.1.9....7.64.....28..5..46.1,30,51,0,0,0,0,0,0,0,Simple,
67...1..8.8..7..49...6.2...1.78.49...3.....6...23.51.4...2.9...52..4..1.7..1...95,32,49,0,0,0,0,0,0,0,Simple,
.97...64.6..389..5............2.1....4.....8..7..9..1...5...1..9..6.4..373.8.5.24,28,53,0,0,0,0,0,0,0,Simple,
....6.73.3.69..2..47.8.5.9...8...37.9.......6.14...8...6.7.9.28..1..39.7.97.1....,32,49,0,0,0,0,0,0,0,Simple,
..7....1.81..69.7....18...2.3..2.1...647.382...8.1..4.5...36....8.27..64.4....7..,32,49,0,0,0,0,0,0,0,Simple,
.2....7...3...9.566.1.873...42.5......83.16......4.87...512.9.318.5...4...3....8.,32,49,0,0,0,0,0,0,0,Simple,
.7..5......84.1..6.....6.5..61.8..9.2..9.3..5.9..7.46..2.5.....9..6.85......9..1.,28,53,0,0,0,0,0,0,0,Simple,
...5.3.....896......2.1.56.5...3..71.714.635.42..5...6.96.7.2......857.....1.9...,32,49,0,0,0,0,0,0,0,Simple,
..2.417....9.85...8..3...1576....4..35.....97..4....5161...8..4...95.1....712.5..,32,49,0,0,0,0,0,0,0,Simple,
..159......7........82.6475..28.53.95.......27.31.26..3496.18........9......285..,32,49,0,0,0,0,0,0,0,Simple,
6..52..1458.....7....8........4.23.83...9...62.61.8........4....3.....6741..53..9,29,52,0,0,0,0,0,0,0,Simple,
.213....7.6..51...543..8...4....2.89.........63.9....4...6..891...81..3.3....942.,30,51,0,0,0,0,0,0,0,Simple,
..95..3.8.23..1.595.....71..8..4......783.....3..6....8.....56..74..8.21..64..8.7,31,50,0,0,0,0,0,0,0,Simple,
2.3.4.7.1.5...8.4.1..2.3..5.67...1..4.......7..2...49.8..9.1..4.7.3...2.3.4.2.5.6,32,49,0,0,0,0,0,0,0,Simple,
1..258..7..6.1.8.............48.96..2.7...4.96.51.43.2...645.....8.3.2...........,28,53,0,0,0,0,0,0,0,Simple,
.........4.1...7.2.6.....9.....2......79514...8.4.7.2..56.7.23.74..9..158..5.3..9,30,51,0,0,0,0,0,0,0,Simple,
